code,name_en,sector_33,sector_17
1663,K&O Energy Group Inc.,Mining,ENERGY RESOURCES
166A,TASUKI Holdings Inc.,Real Estate,REAL ESTATE
167A,"Ryoyo Ryosan Holdings,Inc.",Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
168A,itamiarts inc.,Other Products,"IT & SERVICES, OTHERS"
1711,"SDS HOLDINGS Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1716,DAI-ICHI CUTTER KOGYO K.K.,Construction,CONSTRUCTION & MATERIALS
1717,Meiho Facility Works Ltd.,Services,"IT & SERVICES, OTHERS"
1718,"MIKIKOGYO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1719,HAZAMA ANDO CORPORATION,Construction,CONSTRUCTION & MATERIALS
171A,"ZEROJAPAN.Co.,Ltd",Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
1720,"TOKYU CONSTRUCTION CO., LTD.",Construction,CONSTRUCTION & MATERIALS
1721,COMSYS Holdings Corporation,Construction,CONSTRUCTION & MATERIALS
1723,"NIHON DENGI CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1724,SYNCLAYER INC.,Construction,CONSTRUCTION & MATERIALS
1726,Br.Holdings Corporation,Construction,CONSTRUCTION & MATERIALS
172A,"NEO HOME Co.,Ltd.",Real Estate,REAL ESTATE
1736,OTEC CORPORATION,Construction,CONSTRUCTION & MATERIALS
173A,Hammock Inc.,Information & Communication,"IT & SERVICES, OTHERS"
1758,"Taiyo Kisokogyo Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
175A,"Will Smart Co.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
1762,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1764,KUDO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1766,TOKEN CORPORATION,Construction,CONSTRUCTION & MATERIALS
1768,SONEC CORPORATION,Construction,CONSTRUCTION & MATERIALS
1770,"FUJITA ENGINEERING CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1773,YTL Corporation Berhad,Construction,CONSTRUCTION & MATERIALS
1776,"SUMIKEN MITSUI ROAD CO., LTD.",Construction,CONSTRUCTION & MATERIALS
177A,"Kohjin Bio Co.,Ltd.",Chemicals,RAW MATERIALS & CHEMICALS
1780,YAMAURA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1783,"Fantasista Co.,Ltd.",Real Estate,REAL ESTATE
1786,Oriental Shiraishi Corporation,Construction,CONSTRUCTION & MATERIALS
1787,"Nakabohtec Corrosion Protecting Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1788,SANTO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1793,"OHMOTO GUMI CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1795,MASARU CORPORATION,Construction,CONSTRUCTION & MATERIALS
1798,MORIYA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1799,DAIICHI KENSETSU CORPORATION,Construction,CONSTRUCTION & MATERIALS
1801,TAISEI CORPORATION,Construction,CONSTRUCTION & MATERIALS
1802,OBAYASHI CORPORATION,Construction,CONSTRUCTION & MATERIALS
1803,SHIMIZU CORPORATION,Construction,CONSTRUCTION & MATERIALS
1807,"WATANABE SATO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1808,HASEKO Corporation,Construction,CONSTRUCTION & MATERIALS
1810,"MATSUI CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1811,THE ZENITAKA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1812,KAJIMA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1813,Fudo Tetra Corporation,Construction,CONSTRUCTION & MATERIALS
1814,"DAISUE CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1815,TEKKEN CORPORATION,Construction,CONSTRUCTION & MATERIALS
1820,"Nishimatsu Construction Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1822,DAIHO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1826,"Sata Construction Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1827,NAKANO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1828,TANABE ENGINEERING CORPORATION,Construction,CONSTRUCTION & MATERIALS
1833,OKUMURA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1835,"TOTETSU KOGYO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1840,"TSUCHIYA HOLDINGS CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1841,"SANYU CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1844,"OHMORI CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1847,"ICHIKEN Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1848,FUJI P.S CORPORATION,Construction,CONSTRUCTION & MATERIALS
184A,"Manabi-aid Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
1850,"Nankai Tatsumura Construction Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1852,ASANUMA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1853,"Mori-Gumi Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
185A,Recycle Tech Japan CORPORATION,Services,"IT & SERVICES, OTHERS"
1860,TODA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1861,"Kumagai Gumi Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1866,KITANO CONSTRUCTION CORP.,Construction,CONSTRUCTION & MATERIALS
1867,UEKI CORPORATION,Construction,CONSTRUCTION & MATERIALS
186A,Astroscale Holdings Inc.,Services,"IT & SERVICES, OTHERS"
1870,"YAHAGI CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1871,"PS Construction Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1873,"NIHON HOUSE HOLDINGS CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",Real Estate,REAL ESTATE
1879,SHINNIHON CORPORATION,Construction,CONSTRUCTION & MATERIALS
1882,TOA ROAD CORPORATION,Construction,CONSTRUCTION & MATERIALS
1885,TOA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1887,JDC CORPORATION,Construction,CONSTRUCTION & MATERIALS
1888,"WAKACHIKU CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1897,"The Kaneshita Construction Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1898,"SEIKITOKYU KOGYO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1899,FUKUDA CORPORATION,Construction,CONSTRUCTION & MATERIALS
189A,"D&M COMPANY CO.,LTD",Services,"IT & SERVICES, OTHERS"
1904,"TAISEI ONCHO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1905,TENOX CORPORATION,Construction,CONSTRUCTION & MATERIALS
1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,MACHINERY
190A,Chordia Therapeutics Inc.,Pharmaceutical,PHARMACEUTICAL
1911,"Sumitomo Forestry Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1914,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
191A,"MIMOSA CO.,LTD.",Services,"IT & SERVICES, OTHERS"
1921,TOMOE CORPORATION,Construction,CONSTRUCTION & MATERIALS
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1926,"RAITO KOGYO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1928,"Sekisui House,Ltd.",Construction,CONSTRUCTION & MATERIALS
1929,"NITTOC CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
192A,Integroup Inc.,Services,"IT & SERVICES, OTHERS"
1930,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1934,YURTEC CORPORATION,Construction,CONSTRUCTION & MATERIALS
1938,"NIPPON RIETEC CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1939,YONDENKO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1941,CHUDENKO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1942,"KANDENKO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1944,KINDEN CORPORATION,Construction,CONSTRUCTION & MATERIALS
1945,TOKYO ENERGY & SYSTEMS INC.,Construction,CONSTRUCTION & MATERIALS
1946,TOENEC CORPORATION,Construction,CONSTRUCTION & MATERIALS
1948,"The Kodensha,Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1949,"SUMITOMO DENSETSU CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
194A,"WOLVES HAND Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
1950,"NIPPON DENSETSU KOGYO CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1951,"EXEO Group,Inc.",Construction,CONSTRUCTION & MATERIALS
1952,"Shin Nippon Air Technologies Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1959,KRAFTIA CORPORATION,Construction,CONSTRUCTION & MATERIALS
195A,MUSCAT GROUP Inc.,Services,"IT & SERVICES, OTHERS"
1960,Sanyo Engineering & Construction Inc.,Construction,CONSTRUCTION & MATERIALS
1961,"SANKI ENGINEERING CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1963,JGC HOLDINGS CORPORATION,Construction,CONSTRUCTION & MATERIALS
1964,"Chugai Ro Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1965,TECHNO RYOWA LTD.,Construction,CONSTRUCTION & MATERIALS
1966,TAKADA CORPORATION,Construction,CONSTRUCTION & MATERIALS
1967,YAMATO CORPORATION,Construction,CONSTRUCTION & MATERIALS
1968,"TAIHEI DENGYO KAISHA,LTD.",Construction,CONSTRUCTION & MATERIALS
1969,"Takasago Thermal Engineering Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
196A,"MFS,Inc.",Other Financing Business,FINANCIALS (EX BANKS)
1972,"SANKO METAL INDUSTRIAL CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1975,"ASAHI KOGYOSHA CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1976,"MEISEI INDUSTRIAL Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1979,Taikisha Ltd.,Construction,CONSTRUCTION & MATERIALS
197A,"TAUNS Laboratories,Inc.",Pharmaceutical,PHARMACEUTICAL
1980,"DAI-DAN CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1981,"KYOWANISSEI CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1982,"Hibiya Engineering,Ltd.",Construction,CONSTRUCTION & MATERIALS
198A,PostPrime Inc.,Information & Communication,"IT & SERVICES, OTHERS"
1992,"KANDA TSUSHINKI CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1994,TAKAHASHI CURTAIN WALL CORPORATION,Construction,CONSTRUCTION & MATERIALS
1997,"AKATSUKI EAZIMA CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
199A,Mediair corporation,Information & Communication,"IT & SERVICES, OTHERS"
2001,NIPPN CORPORATION,Foods,FOODS
2002,NISSHIN SEIFUN GROUP INC.,Foods,FOODS
2003,"NITTO FUJI FLOUR MILLING CO.,LTD.",Foods,FOODS
2004,"Showa Sangyo Co.,Ltd.",Foods,FOODS
2009,"THE TORIGOE CO.,LTD.",Foods,FOODS
202A,"MAMEZO CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
203A,"Shunbin Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
204A,"TaiyoPackage Co.,Ltd.",Pulp and Paper,RAW MATERIALS & CHEMICALS
2053,"CHUBU SHIRYO CO.,LTD.",Foods,FOODS
2055,"NICHIWA SANGYO CO.,LTD.",Foods,FOODS
205A,LOGOS HOLDINGS INC.,Construction,CONSTRUCTION & MATERIALS
2060,"FEED ONE CO.,LTD.",Foods,FOODS
206A,"PRISM BioLab Co.,LTD",Pharmaceutical,PHARMACEUTICAL
207A,Rising Corporation Inc.,Construction,CONSTRUCTION & MATERIALS
208A,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.,Information & Communication,"IT & SERVICES, OTHERS"
209A,Onodani Machine Co.Ltd,Machinery,MACHINERY
2108,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Foods,FOODS
2109,"Mitsui DM Sugar Co.,Ltd.",Foods,FOODS
2112,"Ensuiko Sugar Refining Co.,Ltd.",Foods,FOODS
2114,Fuji Nihon Corporation,Foods,FOODS
2117,"WELLNEO SUGAR Co.,Ltd.",Foods,FOODS
211A,Cados Corporation,Construction,CONSTRUCTION & MATERIALS
2120,"LIFULL Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2121,"MIXI,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
2122,"Interspace Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2124,"JAC Recruitment Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2127,Nihon M&A Center Holdings Inc.,Services,"IT & SERVICES, OTHERS"
212A,FIT EASY Inc.,Services,"IT & SERVICES, OTHERS"
2130,"Members Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2134,"Kitahama Capital Partners Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2136,HIP CORPORATION,Services,"IT & SERVICES, OTHERS"
2138,"CROOZ,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
2139,"CHUCO CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2146,"UT Group Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2148,ITmedia Inc.,Services,"IT & SERVICES, OTHERS"
2152,Youji Corporation,Services,"IT & SERVICES, OTHERS"
2153,E・J Holdings Inc.,Services,"IT & SERVICES, OTHERS"
2154,Open Up Group Inc.,Services,"IT & SERVICES, OTHERS"
2156,SAYLOR ADVERTISING INC.,Services,"IT & SERVICES, OTHERS"
2157,"KOSHIDAKA HOLDINGS Co.,LTD.",Services,"IT & SERVICES, OTHERS"
2158,"FRONTEO,Inc.",Services,"IT & SERVICES, OTHERS"
215A,"Timee,Inc.",Services,"IT & SERVICES, OTHERS"
2160,GNI Group Ltd.,Pharmaceutical,PHARMACEUTICAL
2162,nms Holdings Corporation,Services,"IT & SERVICES, OTHERS"
2163,"ARTNER CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2164,"CHIIKISHINBUNSHA CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2168,Pasona Group Inc.,Services,"IT & SERVICES, OTHERS"
2169,"CDS Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
216A,"Life create Co.,Ltd",Retail Trade,RETAIL TRADE
2170,Link and Motivation Inc.,Services,"IT & SERVICES, OTHERS"
2173,Hakuten Corporation,Services,"IT & SERVICES, OTHERS"
2175,"SMS CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2179,"SEIGAKUSHA CO.,LTD.",Services,"IT & SERVICES, OTHERS"
217A,"SUPPORT Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2180,SUNNY SIDE UP GROUP Inc.,Services,"IT & SERVICES, OTHERS"
2181,"PERSOL HOLDINGS CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2183,"Linical Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2185,CMC CORPORATION,Services,"IT & SERVICES, OTHERS"
2186,Sobal Corporation,Services,"IT & SERVICES, OTHERS"
218A,"Liberaware Co.,Ltd.",Precision Instruments,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS
2193,Cookpad Inc.,Services,"IT & SERVICES, OTHERS"
2195,"AMITA HOLDINGS CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2196,ESCRIT INC.,Services,"IT & SERVICES, OTHERS"
2198,IKK Holdings Inc.,Services,"IT & SERVICES, OTHERS"
219A,Heartseed Inc.,Pharmaceutical,PHARMACEUTICAL
2201,"Morinaga & Co.,Ltd.",Foods,FOODS
2204,"NAKAMURAYA CO.,LTD.",Foods,FOODS
2206,"Ezaki Glico Co.,Ltd.",Foods,FOODS
2207,"MEITO CO.,LTD.",Foods,FOODS
2208,BOURBON CORPORATION,Foods,FOODS
2209,"IMURAYA GROUP CO.,LTD.",Foods,FOODS
220A,Faber Company Inc.,Information & Communication,"IT & SERVICES, OTHERS"
2211,"Fujiya Co.,Ltd.",Foods,FOODS
2212,"YAMAZAKI BAKING CO.,LTD.",Foods,FOODS
2215,"FIRST BAKING CO.,LTD.",Foods,FOODS
2216,Kanro Inc.,Foods,FOODS
2217,Morozoff Limited,Foods,FOODS
2220,"KAMEDA SEIKA CO.,LTD.",Foods,FOODS
2221,"IWATSUKA CONFECTIONERY CO.,LTD.",Foods,FOODS
2222,"Kotobuki Spirits Co.,Ltd.",Foods,FOODS
2224,"COMO CO.,LTD.",Foods,FOODS
2226,KOIKE-YA Inc.,Foods,FOODS
2229,"CALBEE,Inc.",Foods,FOODS
222A,Nippon Information Control System Inc.,Information & Communication,"IT & SERVICES, OTHERS"
2264,"MORINAGA MILK INDUSTRY CO.,LTD.",Foods,FOODS
2266,"ROKKO BUTTER CO.,LTD.",Foods,FOODS
2267,"YAKULT HONSHA CO.,LTD.",Foods,FOODS
2268,"B-R 31 ICE CREAM CO.,LTD.",Foods,FOODS
2269,"Meiji Holdings Co.,Ltd.",Foods,FOODS
226A,Katsu Mi Japan Inc.,Foods,FOODS
2270,"MEGMILK SNOW BRAND Co.,Ltd.",Foods,FOODS
227A,"INSIGHT LAB,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
2281,"Prima Meat Packers,Ltd.",Foods,FOODS
2282,NH Foods Ltd.,Foods,FOODS
2286,"Hayashikane Sangyo Co.,Ltd.",Foods,FOODS
2288,"MARUDAI FOOD CO.,LTD.",Foods,FOODS
228A,"OPRO Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
2291,"FUKUTOME MEAT PACKERS,LTD.",Foods,FOODS
2292,S Foods Inc.,Foods,FOODS
2293,"TAKIZAWA HAM CO.,LTD.",Foods,FOODS
2294,"Kakiyasu Honten Co.,Ltd.",Foods,FOODS
2296,ITOHAM YONEKYU HOLDINGS INC.,Foods,FOODS
229A,Asumi HD Inc.,Construction,CONSTRUCTION & MATERIALS
2300,"Kyokuto Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2301,"GAKUJO CO.,Ltd.",Services,"IT & SERVICES, OTHERS"
2303,Dawn Corporation,Information & Communication,"IT & SERVICES, OTHERS"
2304,"CSS HOLDINGS,LTD.",Services,"IT & SERVICES, OTHERS"
2305,"STUDIO ALICE Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2307,"CROSS CAT CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
2311,"EPCO Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2315,CAICA DIGITAL Inc.,Information & Communication,"IT & SERVICES, OTHERS"
2317,Systena Corporation,Information & Communication,"IT & SERVICES, OTHERS"
2321,Softfront Holdings,Information & Communication,"IT & SERVICES, OTHERS"
2323,fonfun corporation,Information & Communication,"IT & SERVICES, OTHERS"
2325,"NJS Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2326,Digital Arts Inc.,Information & Communication,"IT & SERVICES, OTHERS"
2327,NS Solutions Corporation,Information & Communication,"IT & SERVICES, OTHERS"
2329,TOHOKUSHINSHA FILM CORPORATION,Information & Communication,"IT & SERVICES, OTHERS"
2330,"Forside Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
2331,"ALSOK CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2332,"Quest Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
2334,eole Inc.,Services,"IT & SERVICES, OTHERS"
2335,CUBE SYSTEM INC.,Information & Communication,"IT & SERVICES, OTHERS"
2337,Ichigo Inc.,Real Estate,REAL ESTATE
2338,"Quantum Solutions Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
2340,"GOKURAKUYU HOLDINGS CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2341,"ARBEIT-TIMES CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2342,TRANSGENIC GROUP INC.,Services,"IT & SERVICES, OTHERS"
2344,"HEIAN CEREMONY SERVICE CO.,LTD.",Services,"IT & SERVICES, OTHERS"
2345,"Kushim,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
2349,"Nippon Information Development Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
2351,ASJ INC.,Information & Communication,"IT & SERVICES, OTHERS"
2353,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",Real Estate,REAL ESTATE
2354,YE DIGITAL Corporation,Information & Communication,"IT & SERVICES, OTHERS"
2359,CORE CORPORATION,Information & Communication,"IT & SERVICES, OTHERS"
2370,"MEDINET Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2371,"Kakaku.com,Inc.",Services,"IT & SERVICES, OTHERS"
2373,CARE TWENTYONE CORPORATION,Services,"IT & SERVICES, OTHERS"
2374,SAINT-CARE HOLDING CORPORATION,Services,"IT & SERVICES, OTHERS"
2375,GiG Works Inc.,Services,"IT & SERVICES, OTHERS"
2376,SCINEX CORPORATION,Services,"IT & SERVICES, OTHERS"
2378,"RENAISSANCE,INCORPORATED",Services,"IT & SERVICES, OTHERS"
2379,dip Corporation,Services,"IT & SERVICES, OTHERS"
2384,"SBS Holdings,Inc.",Land Transportation,TRANSPORTATION & LOGISTICS
2385,Soiken Holdings Inc.,Services,"IT & SERVICES, OTHERS"
2388,"Wedge Holdings CO.,LTD.",Other Financing Business,FINANCIALS (EX BANKS)
2389,"DIGITAL HOLDINGS,INC.",Services,"IT & SERVICES, OTHERS"
2391,"PLANET,INC.",Services,"IT & SERVICES, OTHERS"
2393,"Nippon Care Supply Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
2395,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",Services,"IT & SERVICES, OTHERS"
